Company Name,Model,price,km,Owner,Car Age,fuel,location,Model_rank,fuel_rank
ASTON,MARTIN,7500000,15500,3,11,Petrol,Delhi,84,5
ASTON,MARTIN,5990000,15200,2,10,Petrol,Mumbai,84,5
AUDI,Q5,1299991,65345,1,10,Diesel,Kolkata,32,6
AUDI,A3,2690000,12000,1,3,Petrol,Delhi,48,5
AUDI,A6,1700000,78000,1,7,Diesel,Delhi,24,6
AUDI,A6,1399991,53055,1,8,Diesel,Kolkata,24,6
AUDI,Q3,2975000,14000,1,3,Diesel,Delhi,28,6
AUDI,Q5,2415000,34000,1,7,Diesel,Kolkata,32,6
AUDI,Q5,2050000,49000,2,7,Diesel,Mumbai,32,6
AUDI,Q3,2685000,62000,1,4,Diesel,Hyderabad,28,6
AUDI,A4,2400000,48000,2,5,Diesel,Coimbatore,38,6
AUDI,A3,2750000,20000,1,3,Diesel,Delhi,48,6
AUDI,A8,2750000,52500,1,8,Diesel,Mumbai,106,6
AUDI,A3,1450000,49000,1,6,Diesel,Mumbai,48,6
AUDI,A6,2750000,51000,1,5,Diesel,Delhi,24,6
AUDI,A4,1550000,39000,1,6,Diesel,Kolkata,38,6
AUDI,A3,3300000,9000,1,6,Petrol,Delhi,48,5
AUDI,A6,1100000,70000,2,10,Diesel,Delhi,24,6
AUDI,R8,8200000,23000,2,8,Petrol,Faridabad,111,5
AUDI,A4,990000,70000,1,11,Petrol,Delhi,38,5
AUDI,A4,1999000,38000,1,6,Petrol,Noida,38,5
AUDI,Q3,2450000,35000,1,4,Diesel,Delhi,28,6
AUDI,A3,3400000,29500,2,5,Petrol,Delhi,48,5
AUDI,Q7,4650000,53500,1,5,Diesel,Delhi,41,6
AUDI,Q7,5500000,47500,1,3,Diesel,Delhi,41,6
AUDI,Q3,1475000,59000,2,7,Diesel,Delhi,28,6
AUDI,A4,1400000,65000,1,7,Diesel,Delhi,38,6
AUDI,A4,3225000,7000,1,2,Petrol,Delhi,38,5
AUDI,A3,1775000,46000,1,6,Diesel,Delhi,48,6
AUDI,A6,2600000,18000,1,3,Diesel,Delhi,24,6
AUDI,Q3,2950000,20000,1,2,Diesel,Delhi,28,6
AUDI,Q3,2000000,35000,1,6,Diesel,Delhi,28,6
AUDI,A4,1190000,57000,1,8,Diesel,Delhi,38,6
